species,Latitude,Mass
Balaenoptera musculus,38.233717,154321304.5
Balaenoptera musculus,37.9421,154321304.5
Balaenoptera musculus,33.529957,154321304.5
Balaenoptera musculus,78.018567,154321304.5
Balaenoptera musculus,44.000884,154321304.5
Balaenoptera musculus,-39.114003,154321304.5
Balaenoptera musculus,39.45255,154321304.5
Balaenoptera musculus,32.713251,154321304.5
Balaenoptera musculus,32.732736,154321304.5
Balaenoptera musculus,32.639478,154321304.5
Balaenoptera musculus,48.172524,154321304.5
Balaenoptera musculus,32.868254,154321304.5
Balaenoptera musculus,33.594987,154321304.5
Balaenoptera musculus,33.519408,154321304.5
Balaenoptera musculus,33.411323,154321304.5
Balaenoptera musculus,33.424532,154321304.5
Balaenoptera musculus,32.414024,154321304.5
Balaenoptera musculus,33.745003,154321304.5
Balaenoptera musculus,33.485449,154321304.5
Balaenoptera musculus,32.768095,154321304.5
Balaenoptera musculus,41.38788,154321304.5
Balaenoptera musculus,41.4291,154321304.5
Balaenoptera musculus,33.57357,154321304.5
Balaenoptera musculus,78.145307,154321304.5
Balaenoptera musculus,46.866577,154321304.5
Balaenoptera musculus,-38.3583,154321304.5
Balaenoptera musculus,-35.107552,154321304.5
Balaenoptera musculus,-34.314921,154321304.5
Balaenoptera musculus,32.736158,154321304.5
Balaenoptera musculus,37.3301,154321304.5
Balaenoptera musculus,37.969417,154321304.5
Balaenoptera musculus,37.37375,154321304.5
Balaenoptera musculus,37.571683,154321304.5
Balaenoptera musculus,37.53315,154321304.5
Balaenoptera musculus,37.804517,154321304.5
Balaenoptera musculus,37.3954,154321304.5
Balaenoptera musculus,32.791838,154321304.5
Balaenoptera musculus,66.149906,154321304.5
Balaenoptera musculus,46.90534,154321304.5
Balaenoptera musculus,36.768952,154321304.5
Balaenoptera musculus,55.468333,154321304.5
Balaenoptera musculus,33.59445,154321304.5
Balaenoptera musculus,33.790661,154321304.5
Balaenoptera musculus,36.722689,154321304.5
Balaenoptera musculus,36.771049,154321304.5
Balaenoptera musculus,36.719942,154321304.5
Balaenoptera musculus,46.81536,154321304.5
Balaenoptera musculus,46.81536,154321304.5
Balaenoptera musculus,46.90534,154321304.5
Balaenoptera musculus,46.81536,154321304.5
Balaenoptera musculus,38.000956,154321304.5
Balaenoptera musculus,33.778609,154321304.5
Balaenoptera musculus,33.503168,154321304.5
Balaenoptera musculus,32.577397,154321304.5
Balaenoptera musculus,33.586231,154321304.5
Balaenoptera musculus,33.490461,154321304.5
Balaenoptera musculus,33.577898,154321304.5
Balaenoptera musculus,32.78756,154321304.5
Balaenoptera musculus,32.702377,154321304.5
Balaenoptera musculus,5.892915,154321304.5
Balaenoptera musculus,40.937099,154321304.5
Balaenoptera musculus,-38.523,154321304.5
Balaenoptera musculus,-38.505,154321304.5
Balaenoptera musculus,-29.139149,154321304.5
Balaenoptera musculus,38.212567,154321304.5
Balaenoptera musculus,38.299967,154321304.5
Balaenoptera musculus,38.36145,154321304.5
Balaenoptera musculus,79.949995,154321304.5
Balaenoptera musculus,33.753815,154321304.5
Balaenoptera musculus,33.677974,154321304.5
Balaenoptera musculus,44.5718,154321304.5
Balaenoptera musculus,44.5854,154321304.5
Balaenoptera musculus,44.5817,154321304.5
Balaenoptera musculus,44.5539,154321304.5
Balaenoptera musculus,45.518,154321304.5
Balaenoptera musculus,44.567,154321304.5
Balaenoptera musculus,44.5849,154321304.5
Balaenoptera musculus,36.653395,154321304.5
Balaenoptera musculus,33.597122,154321304.5
Balaenoptera musculus,37.781333,154321304.5
Balaenoptera musculus,79.682054,154321304.5
Balaenoptera musculus,79.690001,154321304.5
Balaenoptera musculus,79.690001,154321304.5
Balaenoptera musculus,36.950056,154321304.5
Balaenoptera musculus,46.919833,154321304.5
Balaenoptera musculus,33.695721,154321304.5
Balaenoptera musculus,34.102106,154321304.5
Balaenoptera musculus,46.90534,154321304.5
Balaenoptera musculus,46.90534,154321304.5
Balaenoptera musculus,46.90534,154321304.5
Balaenoptera musculus,46.90534,154321304.5
Balaenoptera musculus,32.588496,154321304.5
Balaenoptera musculus,46.90534,154321304.5
Balaenoptera musculus,33.412227,154321304.5
Balaenoptera musculus,32.67716,154321304.5
Balaenoptera musculus,45.846833,154321304.5
Balaenoptera musculus,36.604593,154321304.5
Balaenoptera musculus,32.850584,154321304.5
Balaenoptera musculus,-35.154807,154321304.5
Balaenoptera musculus,-37.45,154321304.5
Balaenoptera musculus,66.33333,154321304.5
Balaenoptera musculus,37.78094,154321304.5
Balaenoptera musculus,-38.425,154321304.5
Balaenoptera musculus,-65.78845,154321304.5
Balaenoptera musculus,-65.80529,154321304.5
Balaenoptera musculus,-38.411724,154321304.5
Balaenoptera musculus,-38.403,154321304.5
Balaenoptera musculus,-38.403,154321304.5
Balaenoptera musculus,-38.403,154321304.5
Balaenoptera musculus,-38.317,154321304.5
Balaenoptera musculus,-38.4,154321304.5
Balaenoptera musculus,-38.354,154321304.5
Balaenoptera musculus,-38.403,154321304.5
Balaenoptera musculus,38.231817,154321304.5
Balaenoptera musculus,37.822767,154321304.5
Balaenoptera musculus,36.484717,154321304.5
Balaenoptera musculus,36.865667,154321304.5
Balaenoptera musculus,36.513883,154321304.5
Balaenoptera musculus,38.223467,154321304.5
Balaenoptera musculus,38.378867,154321304.5
Balaenoptera musculus,39.14565,154321304.5
Balaenoptera musculus,66.164479,154321304.5
Balaenoptera musculus,34.172127,154321304.5
Balaenoptera musculus,33.671185,154321304.5
Balaenoptera musculus,-33.600252,154321304.5
Balaenoptera musculus,-34.281546,154321304.5
Balaenoptera musculus,66.33333,154321304.5
Balaenoptera musculus,36.51286,154321304.5
Balaenoptera musculus,38.22491,154321304.5
Balaenoptera musculus,39.14373,154321304.5
Balaenoptera musculus,37.82304,154321304.5
Balaenoptera musculus,38.37776,154321304.5
Balaenoptera musculus,38.23299,154321304.5
Balaenoptera musculus,36.8636,154321304.5
Balaenoptera musculus,36.48372,154321304.5
Balaenoptera musculus,-46.449,154321304.5
Balaenoptera musculus,-46.4559,154321304.5
Balaenoptera musculus,-37.7406,154321304.5
Balaenoptera musculus,-38.2519,154321304.5
Balaenoptera musculus,-39.7406,154321304.5
Balaenoptera musculus,-38.5208,154321304.5
Balaenoptera musculus,-37,154321304.5
Balaenoptera musculus,-45.69783,154321304.5
Balaenoptera musculus,-36.99877,154321304.5
Balaenoptera musculus,-45.71198,154321304.5
Balaenoptera musculus,-38.4829,154321304.5
Balaenoptera musculus,-36.97,154321304.5
Balaenoptera musculus,38.472233,154321304.5
Balaenoptera musculus,38.469033,154321304.5
Balaenoptera musculus,38.392133,154321304.5
Balaenoptera musculus,37.771333,154321304.5
Balaenoptera musculus,37.82555,154321304.5
Balaenoptera musculus,38.172333,154321304.5
Balaenoptera musculus,37.549083,154321304.5
Balaenoptera musculus,38.201417,154321304.5
Balaenoptera musculus,38.185083,154321304.5
Balaenoptera musculus,34.061321,154321304.5
Balaenoptera musculus,38.374867,154321304.5
Balaenoptera musculus,33.10881,154321304.5
Balaenoptera musculus,34.527061,154321304.5
Balaenoptera musculus,34.477854,154321304.5
Balaenoptera musculus,34.575809,154321304.5
Balaenoptera musculus,34.491913,154321304.5
Balaenoptera musculus,34.542895,154321304.5
Balaenoptera musculus,34.437674,154321304.5
Balaenoptera musculus,37.23255,154321304.5
Balaenoptera musculus,37.23255,154321304.5
Balaenoptera musculus,-35.485416,154321304.5
Balaenoptera musculus,-36.169805,154321304.5
Balaenoptera musculus,66.33333,154321304.5
Balaenoptera musculus,38.2022,154321304.5
Balaenoptera musculus,37.77099,154321304.5
Balaenoptera musculus,37.82773,154321304.5
Balaenoptera musculus,38.1708,154321304.5
Balaenoptera musculus,38.18355,154321304.5
Balaenoptera musculus,38.37324,154321304.5
Balaenoptera musculus,37.5482,154321304.5
Balaenoptera musculus,-35.73,154321304.5
Balaenoptera musculus,-0.96463,154321304.5
Balaenoptera musculus,-46.059,154321304.5
Balaenoptera musculus,-46.05983,154321304.5
